kod;nazwa;obszar;poziom;studia;a1;a2r;a2w;a3;a4p;a4m;a5;m1;anty;koszt;flaga;zagr;kier;klaster;duze_miasto;teren;przeciw;przedm;dosw
geodeta;Geodeta;12;sredni;czesciowo;precyzja liczby ruch tech;dokladnosc rachunki sprzet;przestrzenna reguly samodzielnosc;samodzielnie dokladnosc efekt_widoczny;stabilnosc mistrzostwo wolnosc;relacje uznanie;studia kazda_pogoda fizyczna odpowiedzialnosc;osiadlosc mobilnosc wlasne;unikanie_konfliktu potrzeba_ludzi;wysoki;docelowy;niskie;Ucz sie skanowania i chmur punktow, klasyczny pomiar sie kurczy;;0;1;;matematyka geografia;
inzynier_budownictwa;Inzynier budownictwa;12;sredni;tak;naprawianie precyzja tech liczby;rachunki przestrzenna dokladnosc;system reguly analiza;dokladnosc struktura glebia;mistrzostwo stabilnosc pieniadze;zmiennosc;studia egzaminy komputer odpowiedzialnosc;osiadlosc duza_organizacja;potrzeba_pewnosci procedury_nie;niski;docelowy;niskie;Rosnie rynek modernizacji istniejacych budynkow;budowlanka_biuro;0;0;;matematyka fizyka;
kierownik_budowy;Kierownik budowy;12;bardzo_dlugi;tak;naprawianie prowadzenie planowanie ruch;organizowanie prowadzenie_grupy opanowanie;problemy reguly rozbrajanie;inicjatywa konfrontacja elastycznosc;wplyw pieniadze mistrzostwo;czas_dla_siebie;studia egzaminy kazda_pogoda wyjazdy odpowiedzialnosc presja nadgodziny;mobilnosc przenika;unikanie_konfliktu potrzeba_pewnosci brud_nie;niski;docelowy;bardzo_niskie;;;0;0;kregoslup;matematyka fizyka;praca_doryw
kosztorysant;Kosztorysant;12;sredni;czesciowo;liczby precyzja naprawianie pieniadze;rachunki dokladnosc przestrzenna;analiza wytrzymalosc reguly;dokladnosc cisza struktura;stabilnosc mistrzostwo pieniadze;zmiennosc relacje;komputer nadgodziny powtarzalnosc;granica_ostra zdalna;nuda_powtarzalnosc potrzeba_ludzi;niski;docelowy;umiarkowane;Ucz sie pracy z modelem budynku, nie samego przedmiarowania;budowlanka_biuro;0;0;;matematyka;
projektant_instalacji;Projektant instalacji;12;dlugi;tak;naprawianie tech precyzja liczby;rachunki system przestrzenna;dokladnosc reguly organizowanie;dokladnosc struktura glebia;stabilnosc mistrzostwo pieniadze;uznanie;studia egzaminy komputer odpowiedzialnosc;osiadlosc maly_zespol;potrzeba_uznania;niski;docelowy;bardzo_niskie;Ucz sie pomp ciepla i automatyki budynkowej, tam rosnie rynek;budowlanka_biuro;0;0;;matematyka fizyka;
elektryk;Elektryk;13;szybki;nie;naprawianie rece precyzja tech;manualne sprzet problemy;dokladnosc samodzielnosc przestrzenna;samodzielnie efekt_widoczny elastycznosc;wolnosc mistrzostwo stabilnosc;uznanie;fizyczna stanie brud ciasnota odpowiedzialnosc;szybkie_wejscie wlasne stacjonarna;ciasnota_nie procedury_nie stala_pensja;sredni;docelowy;bardzo_niskie;Ucz sie fotowoltaiki i automatyki budynkowej;instalacje;0;0;kregoslup;fizyka zawodowe;hobby firma_rodzinna
fryzjer;Fryzjer;13;szybki;nie;obraz rece rozmowa;manualne estetyka uprzejmosc;wyczuwanie dokladnosc wytrzymalosc;ludzie efekt_widoczny powtarzalnosc;relacje wolnosc mistrzostwo;stabilnosc uznanie;stanie weekendy ludzie_ciagle chemikalia;szybkie_wejscie wlasne osiadlosc;potrzeba_ciszy stanie_nie;niski;docelowy;bardzo_niskie;;uroda;0;0;alergie_skorne kregoslup;artystyczne zawodowe;
hydraulik;Hydraulik;13;szybki;nie;naprawianie rece precyzja;manualne problemy sprzet;samodzielnosc dokladnosc wytrzymalosc;samodzielnie efekt_widoczny elastycznosc;wolnosc pieniadze mistrzostwo;uznanie czas_dla_siebie;fizyczna brud ciasnota nieregularne odpowiedzialnosc;szybkie_wejscie wlasne stacjonarna;ciasnota_nie brud_nie potrzeba_pewnosci;sredni;docelowy;bardzo_niskie;Ucz sie pomp ciepla, tam sa najwyzsze stawki;instalacje;0;0;kregoslup;fizyka zawodowe;hobby firma_rodzinna
instalator_pv;Instalator fotowoltaiki;13;szybki;nie;rece ruch tech;manualne wytrzymalosc sprzet;reguly problemy zespol;zespol efekt_widoczny tempo;pieniadze zmiennosc mistrzostwo;stabilnosc;fizyczna wysokosc kazda_pogoda goraco wyjazdy;szybkie_wejscie mobilnosc;wysokosc_nie fizycznosc stala_pensja;bardzo_niski;docelowy;bardzo_niskie;Lacz z uprawnieniami elektrycznymi, to zabezpieczenie przed wahaniami rynku;;0;0;wysokosc kregoslup;fizyka zawodowe;
kosmetolog;Kosmetolog;13;sredni;czesciowo;obraz zdrowie rozmowa;manualne dokladnosc uprzejmosc;wyczuwanie zapamietywanie przekonywanie;ludzie dokladnosc efekt_widoczny;relacje wolnosc mistrzostwo;stabilnosc;stanie weekendy ludzie_ciagle chemikalia;szybkie_wejscie wlasne osiadlosc;stanie_nie sprzedaz_nie;wysoki;docelowy;niskie;Podologia jest deficytowa i dobrze platna;uroda;0;0;alergie_skorne kregoslup;biologia chemia;
krawiec;Krawiec;13;szybki;nie;rece precyzja obraz;manualne dokladnosc przestrzenna;wytrwalosc estetyka cierpliwosc;cisza samodzielnie dokladnosc;mistrzostwo wolnosc;pieniadze uznanie;stanie powtarzalnosc;szybkie_wejscie wlasne osiadlosc;potrzeba_ludzi wzrok_slaby;niski;docelowy;niskie;Uslugi i przerobki rosna, produkcja masowa nie;rzemioslo_material;0;0;wzrok kregoslup;artystyczne zawodowe;hobby
mechanik;Mechanik samochodowy;13;szybki;nie;naprawianie rece tech;problemy manualne sprzet;analiza uczenie_sie dokladnosc;samodzielnie efekt_widoczny tempo;mistrzostwo wolnosc pieniadze;uznanie;fizyczna brud halas doksztalcanie roszczeniowi;szybkie_wejscie wlasne osiadlosc;brud_nie doksztalcanie_nie cudza_zlosc;sredni;docelowy;niskie;Celuj w diagnostyke i pojazdy elektryczne;serwis_techniczny;0;0;kregoslup;fizyka zawodowe;hobby
spawacz;Spawacz;13;szybki;nie;rece precyzja naprawianie;manualne dokladnosc wytrzymalosc;sprzet wytrwalosc samodzielnosc;cisza samodzielnie dokladnosc;pieniadze mistrzostwo stabilnosc;relacje uznanie;fizyczna goraco halas wyjazdy samotnosc odpowiedzialnosc;szybkie_wejscie mobilnosc;potrzeba_ludzi wzrok_slaby goraco_nie;bardzo_niski;docelowy;umiarkowane;Zdobywaj kolejne uprawnienia, TIG jest celem;;0;0;wzrok alergie_wziewne;zawodowe;
stolarz;Stolarz;13;szybki;nie;rece precyzja obraz;manualne dokladnosc przestrzenna;estetyka wytrzymalosc sprzet;samodzielnie dokladnosc efekt_widoczny;mistrzostwo wolnosc;uznanie stabilnosc;fizyczna stanie halas dzwiganie;szybkie_wejscie wlasne osiadlosc;nuda_powtarzalnosc stanie_nie;wysoki;docelowy;niskie;Meble na wymiar sa bezpieczne, produkcja seryjna nie;rzemioslo_material;0;0;alergie_wziewne sluch kregoslup;zawodowe artystyczne;hobby projekty
technik_serwisu;Technik serwisu urzadzen;13;szybki;nie;naprawianie tech rece;problemy sprzet manualne;analiza samodzielnosc uprzejmosc;samodzielnie efekt_widoczny elastycznosc;mistrzostwo wolnosc pieniadze;uznanie;fizyczna wyjazdy roszczeniowi doksztalcanie;mobilnosc wlasne szybkie_wejscie;cudza_zlosc doksztalcanie_nie;sredni;docelowy;niskie;Wybor specjalizacji zmienia dochod dwukrotnie, celuj w medyczny albo przemyslowy;serwis_techniczny;0;0;;fizyka informatyka zawodowe;hobby
dyspozytor;Dyspozytor transportu;14;sredni;nie;planowanie prowadzenie porzadek;organizowanie wielozadaniowosc opanowanie;rozbrajanie przestrzenna reguly;tempo bodzce konfrontacja;pieniadze stabilnosc wplyw;cisza czas_dla_siebie;presja ludzie_ciagle nieregularne;osiadlosc przenika;unikanie_konfliktu potrzeba_pewnosci;zerowy;docelowy;umiarkowane;;transport_biuro;0;0;;geografia;praca_stala
kierowca;Kierowca zawodowy;14;szybki;nie;ruch naprawianie planowanie;sprzet samodzielnosc wytrzymalosc;opanowanie dokladnosc przestrzenna;samodzielnie cisza powtarzalnosc;pieniadze wolnosc stabilnosc;relacje czas_dla_siebie;wyjazdy noce nieregularne fizyczna samotnosc odpowiedzialnosc;mobilnosc przenika;potrzeba_ludzi kregoslup_slaby nuda_powtarzalnosc;sredni;docelowy;niskie;Zdobywaj uprawnienia specjalistyczne, potem rozwaz przejscie do spedycji;;0;0;kregoslup wzrok;zawodowe;
kierownik_magazynu;Kierownik magazynu;14;sredni;czesciowo;planowanie prowadzenie porzadek;organizowanie prowadzenie_grupy dokladnosc;opanowanie rozbrajanie system;struktura inicjatywa bodzce;stabilnosc wplyw pieniadze;cisza mistrzostwo;zmiany noce stanie halas ludzie_ciagle odpowiedzialnosc;osiadlosc duza_organizacja;potrzeba_ciszy noce_nie;zerowy;docelowy;umiarkowane;Ucz sie automatyki magazynowej, to podnosi wartosc;;0;0;;;praca_doryw praca_stala
spec_logistyki;Specjalista do spraw logistyki;14;sredni;czesciowo;planowanie liczby porzadek;organizowanie analiza system;negocjowanie dokladnosc wielozadaniowosc;struktura szerokosc elastycznosc;stabilnosc pieniadze wplyw;czas_dla_siebie;komputer presja ludzie_ciagle;osiadlosc duza_organizacja;unikanie_konfliktu potrzeba_pewnosci;niski;docelowy;umiarkowane;Celuj w zarzadzanie ryzykiem lancucha dostaw, nie w planowanie operacyjne;;0;0;;matematyka geografia;
spedytor;Spedytor;14;sredni;nie;planowanie przekonywanie porzadek;organizowanie wielozadaniowosc opanowanie;negocjowanie przestrzenna odpornosc;tempo bodzce szerokosc;pieniadze zmiennosc stabilnosc;czas_dla_siebie;presja ludzie_ciagle nieregularne komputer;duzo_godzin przenika;potrzeba_ciszy mierzenie;zerowy;docelowy;umiarkowane;Buduj wlasny portfel klientow, nie tylko obsluguj zlecenia;transport_biuro;0;0;;jezyki geografia;
agronom;Agronom;15;sredni;tak;przyroda ruch dociekanie;analiza dokladnosc wyjasnianie;przekonywanie samodzielnosc zapamietywanie;samodzielnie elastycznosc dokladnosc;wolnosc mistrzostwo stabilnosc;czas_dla_siebie;studia kazda_pogoda wyjazdy weekendy chemikalia;osiadlosc mobilnosc;kontrola_efektu potrzeba_ludzi;niski;docelowy;niskie;Ucz sie rolnictwa precyzyjnego i pracy z danymi;;0;1;;biologia chemia geografia;firma_rodzinna
lesnik;Lesnik;15;sredni;czesciowo;przyroda ruch porzadek;samodzielnosc dokladnosc analiza;reguly wytrzymalosc rozbrajanie;samodzielnie cisza dokladnosc;wolnosc stabilnosc zasady sens;uznanie zmiennosc;studia kazda_pogoda fizyczna samotnosc przeprowadzka;osiadlosc stacjonarna;potrzeba_ludzi efekt_szybki dokumentacja_nie;zerowy;docelowy;niskie;;;0;1;;biologia geografia;hobby
ogrodnik;Ogrodnik;15;szybki;nie;przyroda rece ruch;wytrzymalosc manualne sprzet;dokladnosc estetyka samodzielnosc;efekt_widoczny samodzielnie zmiennosc;wolnosc mistrzostwo czas_dla_siebie;pieniadze stabilnosc uznanie;fizyczna kazda_pogoda goraco niepewny_dochod;szybkie_wejscie wlasne osiadlosc;fizycznosc stala_pensja;niski;docelowy;bardzo_niskie;Arborystyka jest deficytowa i dobrze platna;;0;0;alergie_wziewne kregoslup;biologia zawodowe;hobby praca_doryw
spec_srodowiska;Specjalista ochrony srodowiska;15;sredni;tak;przyroda prawo porzadek;analiza reguly dokladnosc;wyjasnianie system slowo;struktura dokladnosc konfrontacja;zasady stabilnosc sens;zmiennosc uznanie;studia komputer doksztalcanie odpowiedzialnosc;osiadlosc duza_organizacja;dokumentacja_nie unikanie_konfliktu;niski;docelowy;bardzo_niskie;Raportowanie zrownowazonego rozwoju rosnie najszybciej;;0;0;;biologia chemia geografia;
technik_wet;Technik weterynarii;15;sredni;nie;przyroda opieka zdrowie;opiekunczosc manualne dokladnosc;wytrzymalosc opanowanie uprzejmosc;zespol ludzie efekt_widoczny;sens relacje;pieniadze mistrzostwo wplyw;fizyczna krew umieranie dyzury chorzy;szybkie_wejscie osiadlosc;umieranie fizycznosc kregoslup_slaby;bardzo_niski;trampolina;bardzo_niskie;Naturalna sciezka to uzupelnienie studiow weterynaryjnych;;0;0;alergie_wziewne kregoslup;biologia;wolontariat
weterynarz;Weterynarz;15;dlugi;tak;przyroda zdrowie dociekanie;opiekunczosc dokladnosc opanowanie;zapamietywanie manualne wyczuwanie;dokladnosc ludzie glebia;sens mistrzostwo wolnosc;czas_dla_siebie pieniadze;dlugie_studia dyzury weekendy krew umieranie odpowiedzialnosc;dluga_inwestycja przenika;umieranie potrzeba_pewnosci fizycznosc;niski;docelowy;bardzo_niskie;Sprawdz wolontariatem w lecznicy przed decyzja o szesciu latach;;0;0;;biologia chemia;wolontariat hobby
farmaceuta;Farmaceuta;16;dlugi;tak;zdrowie precyzja dociekanie;zapamietywanie dokladnosc reguly;wyjasnianie uprzejmosc analiza;dokladnosc ludzie struktura;sens stabilnosc mistrzostwo;zmiennosc wolnosc;studia stanie ludzie_ciagle weekendy;osiadlosc granica_ostra;stanie_nie sprzedaz_nie nuda_powtarzalnosc;niski;docelowy;umiarkowane;Opieka farmaceutyczna rosnie, samo wydawanie lekow sie kurczy;;0;0;;biologia chemia;
lekarz;Lekarz;16;bardzo_dlugi;tak;zdrowie dociekanie opieka;zapamietywanie opanowanie dokladnosc;analiza wyczuwanie manualne;dokladnosc ludzie glebia;sens mistrzostwo uznanie stabilnosc;czas_dla_siebie wolnosc;dlugie_studia egzaminy doksztalcanie dyzury noce weekendy krew chorzy umieranie odpowiedzialnosc;dluga_inwestycja przenika duzo_godzin;umieranie potrzeba_pewnosci doksztalcanie_nie;niski;docelowy;bardzo_niskie;;;0;0;;biologia chemia;wolontariat
opiekun_med;Opiekun medyczny;16;szybki;nie;opieka zdrowie rozmowa;opiekunczosc wytrzymalosc uprzejmosc;cierpliwosc dokladnosc wyczuwanie;ludzie powtarzalnosc struktura;sens relacje zasady;pieniadze uznanie mistrzostwo;fizyczna brud zmiany chorzy umieranie dzwiganie;szybkie_wejscie stacjonarna;fizycznosc umieranie kregoslup_slaby;bardzo_niski;trampolina;bardzo_niskie;Naturalna sciezka to studia pielegniarskie;opieka_bezposrednia;0;0;kregoslup;;wolontariat
pielegniarka;Pielegniarka;16;sredni;tak;zdrowie opieka rozmowa;opiekunczosc opanowanie dokladnosc;zapamietywanie wytrzymalosc uprzejmosc;ludzie zespol struktura;sens stabilnosc relacje;czas_dla_siebie wolnosc;studia zmiany noce weekendy krew chorzy umieranie fizyczna odpowiedzialnosc;przenika stacjonarna;umieranie noce_nie fizycznosc kregoslup_slaby;niski;docelowy;bardzo_niskie;;pielegniarstwo;0;0;kregoslup;biologia;wolontariat
polozna;Polozna;16;sredni;tak;zdrowie opieka rozmowa;opanowanie opiekunczosc dokladnosc;wyczuwanie manualne wyjasnianie;ludzie tempo samodzielnie;sens mistrzostwo stabilnosc;czas_dla_siebie;studia zmiany noce weekendy krew odpowiedzialnosc fizyczna;przenika stacjonarna;umieranie potrzeba_pewnosci noce_nie;niski;docelowy;bardzo_niskie;;pielegniarstwo;0;0;kregoslup;biologia;wolontariat
ratownik_med;Ratownik medyczny;16;sredni;tak;zdrowie ruch opieka;opanowanie dokladnosc wytrzymalosc;zapamietywanie rozbrajanie problemy;zespol bodzce tempo;sens relacje stabilnosc;czas_dla_siebie bezpieczenstwo;studia zmiany noce weekendy krew umieranie fizyczna agresja;przenika mobilnosc;umieranie noce_nie fizycznosc;niski;docelowy;bardzo_niskie;;;0;0;kregoslup;biologia wf;wolontariat kursy
technik_farm;Technik farmaceutyczny;16;sredni;nie;zdrowie precyzja rozmowa;dokladnosc uprzejmosc zapamietywanie;reguly cierpliwosc organizowanie;struktura ludzie powtarzalnosc;sens stabilnosc;pieniadze mistrzostwo;stanie ludzie_ciagle weekendy;szybkie_wejscie osiadlosc;stanie_nie potrzeba_rozwoju;zerowy;trampolina;wysokie;Dobre wejscie, rozwaz uzupelnienie studiow farmaceutycznych;;0;0;;biologia chemia;
technik_radiolog;Technik radiolog;16;sredni;tak;zdrowie tech precyzja;dokladnosc sprzet reguly;wyczuwanie uprzejmosc zapamietywanie;dokladnosc struktura ludzie;sens stabilnosc mistrzostwo;zmiennosc;studia zmiany dyzury chorzy fizyczna;osiadlosc stacjonarna;nuda_powtarzalnosc potrzeba_relacji;niski;docelowy;niskie;;;0;0;;biologia fizyka;
dietetyk;Dietetyk;17;sredni;tak;zdrowie rozmowa uczenie;wyjasnianie wyczuwanie analiza;cierpliwosc przekonywanie dokladnosc;ludzie samodzielnie dokladnosc;sens wolnosc mistrzostwo;stabilnosc;studia ludzie_ciagle niepewny_dochod komputer;zdalna wlasne;kontrola_efektu sprzedaz_nie;sredni;docelowy;umiarkowane;Celuj w dietetyke kliniczna, ukladanie jadlospisow jest zagrozone;;0;0;;biologia chemia;
fizjoterapeuta;Fizjoterapeuta;17;dlugi;tak;zdrowie opieka ruch;opiekunczosc wyjasnianie manualne;wyczuwanie wytrzymalosc zapamietywanie;ludzie dokladnosc samodzielnie;sens mistrzostwo wolnosc;pieniadze stabilnosc;studia stanie ludzie_ciagle chorzy doksztalcanie fizyczna;wlasne osiadlosc;efekt_szybki dotyk kontrola_efektu;sredni;docelowy;bardzo_niskie;Etat placi zle, planuj wlasny gabinet od poczatku;cialo_terapia;0;0;kregoslup;biologia wf;wolontariat
masazysta;Masazysta;17;szybki;nie;zdrowie opieka ruch;manualne opiekunczosc wytrzymalosc;wyczuwanie uprzejmosc cierpliwosc;ludzie samodzielnie powtarzalnosc;sens wolnosc relacje;stabilnosc pieniadze;stanie fizyczna ludzie_ciagle niepewny_dochod;szybkie_wejscie wlasne;rece_slabe dotyk stala_pensja;niski;docelowy;niskie;Zawod zuzywa rece, planuj przejscie do specjalizacji mniej obciazajacych;cialo_terapia;0;0;kregoslup;biologia wf;
optyk;Optyk;17;szybki;nie;precyzja rece zdrowie;manualne dokladnosc uprzejmosc;estetyka przekonywanie sprzet;dokladnosc ludzie struktura;stabilnosc mistrzostwo;wolnosc zmiennosc;stanie weekendy ludzie_ciagle;szybkie_wejscie osiadlosc;sprzedaz_nie stanie_nie;wysoki;docelowy;umiarkowane;Uzupelnij optometrie, tam jest czesc odporna i lepiej platna;;0;0;wzrok;fizyka biologia;
protetyk_sluchu;Protetyk słuchu;17;sredni;czesciowo;zdrowie precyzja rozmowa;dokladnosc cierpliwosc wyjasnianie;sprzet uprzejmosc wyczuwanie;dokladnosc ludzie struktura;sens stabilnosc mistrzostwo;zmiennosc;ludzie_ciagle komputer doksztalcanie;osiadlosc granica_ostra;sprzedaz_nie nuda_powtarzalnosc;niski;docelowy;niskie;;;0;0;sluch;fizyka biologia;
terapeuta_zajeciowy;Terapeuta zajeciowy;17;sredni;czesciowo;opieka uczenie rece;opiekunczosc wyjasnianie wyczuwanie;tworzenie manualne cierpliwosc;ludzie zespol powtarzalnosc;sens relacje czas_dla_siebie;pieniadze uznanie mistrzostwo;fizyczna chorzy ludzie_ciagle;osiadlosc mniej_godzin;efekt_szybki fizycznosc;zerowy;docelowy;bardzo_niskie;;;0;0;;biologia artystyczne;wolontariat
instruktor_rekreacji;Instruktor rekreacji;18;szybki;nie;ruch uczenie wspolnota;wyjasnianie wytrzymalosc opanowanie;prowadzenie_grupy wyczuwanie sprzet;zespol zmiennosc bodzce;wolnosc relacje zmiennosc;stabilnosc pieniadze;weekendy nieregularne fizyczna kazda_pogoda niepewny_dochod;mobilnosc szybkie_wejscie;stala_pensja weekendy_nie;bardzo_niski;docelowy;niskie;;;0;0;kregoslup;wf;hobby
nauczyciel_wf;Nauczyciel wychowania fizycznego;18;dlugi;tak;ruch uczenie rozmowa;wyjasnianie prowadzenie_grupy cierpliwosc;wytrzymalosc rozbrajanie wystapienia;ludzie bodzce powtarzalnosc;sens czas_dla_siebie stabilnosc relacje;pieniadze uznanie;studia ludzie_ciagle dzieci halas odpowiedzialnosc;osiadlosc granica_ostra;potrzeba_ciszy cudza_zlosc;niski;docelowy;niskie;;;0;0;kregoslup;wf biologia;hobby prowadzenie
trener_druzyny;Trener druzyny;18;sredni;czesciowo;ruch prowadzenie uczenie;prowadzenie_grupy wyjasnianie opanowanie;wyczuwanie odpornosc system;zespol inicjatywa konfrontacja;wplyw sens relacje;stabilnosc czas_dla_siebie;weekendy wyjazdy nieregularne niepewny_dochod presja;przenika mobilnosc;kontrola_efektu odmowa_do_siebie weekendy_nie;niski;docelowy;niskie;;;0;0;;wf;hobby prowadzenie konkursy
trener_personalny;Trener personalny;18;sredni;nie;ruch uczenie zdrowie;wyjasnianie wytrzymalosc przekonywanie;wyczuwanie samodzielnosc odpornosc;ludzie inicjatywa efekt_widoczny;wolnosc relacje sens;stabilnosc czas_dla_siebie;nieregularne weekendy fizyczna niepewny_dochod wlasna_dzialalnosc;wlasne przenika;sprzedaz_nie stala_pensja wieczory_nie;niski;docelowy;niskie;Specjalizuj sie w treningu medycznym, tam nie konkurujesz z aplikacja;;0;0;kregoslup;biologia wf;hobby
asystent_niepelno;Asystent osoby z niepelnosprawnoscia;19;szybki;nie;opieka rozmowa wspolnota;opiekunczosc wyczuwanie wytrzymalosc;problemy uprzejmosc cierpliwosc;ludzie elastycznosc zgoda;sens relacje zasady;pieniadze wplyw;fizyczna nieregularne chorzy dzwiganie;szybkie_wejscie mniej_godzin;potrzeba_decydowania kregoslup_slaby;bardzo_niski;docelowy;bardzo_niskie;;;0;0;kregoslup;;wolontariat
asystent_rodziny;Asystent rodziny;19;sredni;czesciowo;opieka rozmowa uczenie;opiekunczosc wyczuwanie wyjasnianie;rozbrajanie organizowanie cierpliwosc;samodzielnie ludzie elastycznosc;sens zasady;pieniadze uznanie;ludzie_ciagle nieregularne agresja odpowiedzialnosc;przenika mobilnosc;zabieranie_do_domu efekt_widoczny;zerowy;docelowy;bardzo_niskie;;praca_z_rodzina;0;0;;wos;wolontariat
kierownik_placowki;Kierownik placowki opiekunczej;19;dlugi;tak;prowadzenie opieka porzadek;prowadzenie_grupy organizowanie reguly;rozbrajanie opanowanie wyczuwanie;struktura konfrontacja inicjatywa;wplyw sens stabilnosc;czas_dla_siebie;studia odpowiedzialnosc ludzie_ciagle presja;przenika osiadlosc;unikanie_konfliktu dokumentacja_nie;niski;docelowy;bardzo_niskie;;;0;0;;wos;praca_stala wolontariat
opiekun_starszej;Opiekun osoby starszej;19;szybki;nie;opieka rozmowa zdrowie;opiekunczosc wytrzymalosc uprzejmosc;cierpliwosc samodzielnosc wyczuwanie;ludzie samodzielnie powtarzalnosc;sens relacje;pieniadze uznanie mistrzostwo;fizyczna brud chorzy umieranie dzwiganie samotnosc;szybkie_wejscie mobilnosc;fizycznosc umieranie kregoslup_slaby potrzeba_ludzi;bardzo_niski;docelowy;bardzo_niskie;;opieka_bezposrednia;0;0;kregoslup;;wolontariat firma_rodzinna
opiekunka_dziecieca;Opiekunka dziecieca;19;szybki;nie;opieka uczenie wspolnota;opiekunczosc wyczuwanie uprzejmosc;wytrzymalosc cierpliwosc tworzenie;ludzie bodzce powtarzalnosc;sens relacje czas_dla_siebie;pieniadze uznanie mistrzostwo;fizyczna dzieci ludzie_ciagle halas chorzy;szybkie_wejscie osiadlosc;potrzeba_ciszy cudza_zlosc kregoslup_slaby;bardzo_niski;trampolina;niskie;Naturalna sciezka to studia z pedagogiki przedszkolnej;;0;0;kregoslup;biologia;wolontariat
pracownik_socjalny;Pracownik socjalny;19;sredni;tak;opieka rozmowa wspolnota;wyczuwanie opiekunczosc reguly;rozbrajanie opanowanie dokladnosc;samodzielnie konfrontacja elastycznosc;sens zasady stabilnosc;pieniadze uznanie;studia ludzie_ciagle agresja odpowiedzialnosc kazda_pogoda;osiadlosc przenika;zabieranie_do_domu efekt_widoczny dokumentacja_nie unikanie_konfliktu;niski;docelowy;bardzo_niskie;;praca_z_rodzina;0;0;;wos polski;wolontariat
coach;Coach;20;sredni;nie;rozmowa przekonywanie uczenie;wyczuwanie wyjasnianie odpornosc;przekonywanie slowo samodzielnosc;ludzie inicjatywa samodzielnie;wolnosc sens rozwoj;stabilnosc uznanie;niepewny_dochod wlasna_dzialalnosc ludzie_ciagle wystapienia;wlasne zdalna;sprzedaz_nie stala_pensja potrzeba_uznania;wysoki;docelowy;umiarkowane;Bez wczesniejszego doswiadczenia zawodowego nie ma czego uczyc;;0;0;;;praca_stala prowadzenie
doradca_zawodowy;Doradca zawodowy;20;sredni;tak;rozmowa uczenie wspolnota;wyczuwanie wyjasnianie analiza;wystapienia cierpliwosc slowo;ludzie cisza dokladnosc;sens relacje czas_dla_siebie;pieniadze wplyw;studia ludzie_ciagle wystapienia doksztalcanie;osiadlosc granica_ostra;potrzeba_doradzania kontrola_efektu;niski;docelowy;umiarkowane;Bądź przewodnikiem, nie wyszukiwarka;;0;0;;wos polski;wolontariat prowadzenie
interwent;Interwent kryzysowy;20;dlugi;tak;rozmowa opieka wspolnota;opanowanie wyczuwanie rozbrajanie;reguly analiza cierpliwosc;zespol tempo ludzie;sens zasady;stabilnosc czas_dla_siebie;studia dyzury noce chorzy umieranie odpowiedzialnosc presja;przenika;umieranie zabieranie_do_domu kontrola_efektu;niski;docelowy;bardzo_niskie;Bez superwizji nie podejmuj tej pracy;;0;0;;biologia wos;wolontariat
psycholog;Psycholog;20;dlugi;tak;rozmowa opieka dociekanie;wyczuwanie rozbrajanie analiza;wyjasnianie cierpliwosc slowo;cisza glebia samodzielnie;sens mistrzostwo zasady;pieniadze efekt_widoczny;studia doksztalcanie ludzie_ciagle chorzy odpowiedzialnosc;dluga_inwestycja maly_zespol;efekt_szybki zabieranie_do_domu potrzeba_doradzania;sredni;docelowy;niskie;Sam dyplom nie daje uprawnien terapeutycznych ani latwej pracy;pomoc_psych;0;0;;biologia polski wos;wolontariat
psychoterapeuta;Psychoterapeuta;20;bardzo_dlugi;tak;rozmowa dociekanie opieka;wyczuwanie cierpliwosc rozbrajanie;analiza slowo samodzielnosc;cisza glebia samodzielnie;sens mistrzostwo wolnosc;pieniadze czas_dla_siebie;dlugie_studia doksztalcanie ludzie_ciagle chorzy odpowiedzialnosc;dluga_inwestycja wlasne maly_zespol;efekt_szybki potrzeba_doradzania zabieranie_do_domu;bardzo_wysoki;docelowy;niskie;Droga kosztuje 60-120 tysiecy wlasnych srodkow, wiedz o tym przed wyborem studiow;pomoc_psych;0;0;;biologia polski;wolontariat
katecheta;Katecheta;21;dlugi;tak;wspolnota uczenie rozmowa;wystapienia wyczuwanie wyjasnianie;prowadzenie_grupy cierpliwosc rozbrajanie;ludzie bodzce powtarzalnosc;sens zasady czas_dla_siebie relacje;uznanie pieniadze;studia dzieci ludzie_ciagle wystapienia weekendy;osiadlosc;krytyka_osobista potrzeba_uznania;niski;docelowy;wysokie;Zdobadz uprawnienia do drugiego przedmiotu;;0;0;;polski historia;wolontariat
lektor;Lektor jezyka obcego;21;szybki;nie;uczenie pisanie rozmowa;wyjasnianie cierpliwosc slowo;zapamietywanie wyczuwanie samodzielnosc;ludzie samodzielnie elastycznosc;wolnosc sens relacje;stabilnosc pieniadze;nieregularne niepewny_dochod ludzie_ciagle;zdalna szybkie_wejscie wlasne;wieczory_nie stala_pensja;bardzo_niski;docelowy;wysokie;Celuj w konwersacje i egzaminy, nie w gramatyke;;0;0;;jezyki polski;hobby kursy
